"time_s","joint_state","observability","p1_movement_intensity","p1_active_persistence","p1_spatial_range","p1_initiative_rate","p1_response_availability","p1_linked_participation","p2_movement_intensity","p2_active_persistence","p2_spatial_range","p2_initiative_rate","p2_response_availability","p2_linked_participation","activation_match","response_reciprocity","mutual_activity","distance_from_start","distance_trend","effective_opportunity","target_matched_exposure","response_conversion","support_cost","joint_trainability","mutual_workable_zone","reciprocity","co_regulation","role_fluidity","tempo_coordination","relation_drift","morphology_overlap_proxy","stage_key","session_id","stage_id","participant_1","participant_2","state_id","posterior_confidence","posterior_entropy","p1_to_p2_predictive_support_live","p2_to_p1_predictive_support_live","directional_support_symmetry_live","mutual_comfort_state","distance_to_dual_mic_anchor_s","dual_mic_anchor_support_500ms"
"27.027","10.0","0.9167","0.7406","0.8","0.58","1.0","0.0","0.25","0.2029","0.2","0.03","0.7407","1.0","1.0","0.4","0.0","0.1818","0.1891","-0.0041","0.1667","","0.5","0.318","0.2479","0.4112","0.0","0.2618","1.0","0.2812","0.0546","0.3664","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.5587549257838197","0.0","0.4412450742161803","0.42272","6.682000000000002","0.0"
"28.028","10.0","0.9167","0.6853","0.8","0.639","0.7778","0.0","0.25","0.2096","0.2","0.0289","0.7407","0.5","1.0","0.4","0.5","0.1818","0.2408","0.0338","0.1667","","0.25","0.3195","0.3052","0.4557","0.5","0.2833","0.8333","0.2884","0.0695","0.4664","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.5094692726740915","0.07352344784459608","0.5640541751705046","0.44942000000000004","5.6810000000000045","0.0"
"29.029","10.0","0.9167","0.5973","0.8","0.637","0.7778","0.0","0.125","0.1973","0.1","0.0291","0.3704","0.5","1.0","0.3","0.5","0.0909","0.2633","0.0646","0.0833","","0.25","0.3176","0.2615","0.4224","0.5","0.3452","0.8333","0.2454","0.076","0.4032","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9999","0.0005","0.6891721952610164","0.07617736121124385","0.3870051659502275","0.4294424","4.680000000000003","0.0"
"30.03","10.0","0.9167","0.5817","0.8","0.6649","0.7778","0.0","0.125","0.1951","0.1","0.0279","0.3704","0.5","1.0","0.3","0.5","0.0909","0.2644","0.0931","0.0833","","0.25","0.32","0.2615","0.4216","0.5","0.4762","0.8333","0.289","0.0763","0.4032","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9999","0.0004","0.6781469294131499","0.05455568713159231","0.3764087577184424","0.42896239999999997","3.679000000000002","0.0"
"31.031","10.0","0.9167","0.638","0.9","0.6928","0.7778","0.0","0.1111","0.1833","0.1","0.0279","0.3704","0.5","1.0","0.2","0.5","0.0909","0.2851","0.1164","0.0833","","0.25","0.3406","0.2385","0.3966","0.5","0.5884","0.0","0.2931","0.0823","0.3804","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9985","0.0057","0.6438272272890194","0.051052922319921756","0.40722569503090233","0.41399600000000003","2.6780000000000044","0.0"
"32.032","10.0","0.9167","0.6687","0.9","0.781","0.3889","0.0","0.1111","0.1757","0.1","0.0254","0.3704","0.0","1.0","0.2","1.0","0.0909","0.3674","0.136","0.0833","","0.0","0.3674","0.2958","0.4326","1.0","0.6187","0.0","0.3032","0.1061","0.4804","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.6063001261990891","0.09445592690735682","0.4881558007082677","0.43555999999999995","1.6770000000000067","0.0"
"33.033","10.0","0.9167","0.7184","0.9091","0.8146","0.35","0.0","0.1","0.1626","0.1","0.0231","0.3704","0.0","1.0","0.1909","1.0","0.0909","0.3785","0.1382","0.0833","","0.0","0.3873","0.2938","0.4242","1.0","0.5457","0.0","0.2758","0.1093","0.4764","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0001","0.5807258201487961","0.20920437092202915","0.628478550773233","0.43052","0.6760000000000019","0.0"
"34.034","10.0","0.9167","0.6776","0.9091","0.6083","0.35","","0.0","0.1499","0.0","0.0231","0.0","0.0","","0.0909","","0.0","0.4079","0.1419","0.0","","0.0","0.6429","0.0278","0.0996","","0.5887","0.0","0.2265","0.1178","0.0303","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","low_engagement_reset","1.0","0.0","0.5532049819492438","0.2784703695404399","0.7252653875911961","0.11975999999999999","0.32499999999999574","1.0"
"35.035","11.0","1.0","0.7027","0.9167","0.6083","0.3182","","0.0909","0.1593","0.1","0.0232","0.3704","0.0","1.0","0.1833","","0.0833","0.3479","0.1333","0.0833","","0.0","0.3357","0.0889","0.243","","0.5805","0.0","0.2824","0.1004","0.3394","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","low_engagement_reset","0.9877","0.034","0.5331451708537105","0.32525501365558657","0.792109842801876","0.20752199999999998","1.3259999999999934","0.0"
"36.036","10.0","1.0","0.7327","0.9167","0.6083","0.3182","","0.0909","0.1606","0.0909","0.0237","0.3333","0.0","1.0","0.1742","","0.0833","0.3543","0.1227","0.0833","","0.0","0.3431","0.0858","0.2375","","0.5878","0.0","0.2818","0.1023","0.3371","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","low_engagement_reset","0.992","0.0239","0.49458675268510877","0.3328687529873521","0.8382820003022433","0.20362","2.326999999999998","0.0"
"37.037","10.0","1.0","0.7474","1.0","0.5224","0.3182","0.0","0.0833","0.1585","0.0833","0.0237","0.303","0.0","1.0","0.0833","1.0","0.0833","0.3838","0.0903","0.0833","","0.0","0.327","0.2917","0.443","1.0","0.5472","0.0","0.2379","0.1108","0.45","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9999","0.0005","0.26748895892327623","0.3549279744330296","0.9125609844902467","0.4418024","3.327999999999996","0.0"
"38.038","11.0","1.0","0.7319","1.0","0.4243","0.0","0.0","0.1667","0.2115","0.1667","0.7092","0.6061","","1.0","0.1667","","0.1667","0.3189","0.0508","0.1667","","0.0","0.38","0.1111","0.2625","","0.6248","0.8333","0.3194","0.0921","0.375","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.7633","0.2812","0.4371150980802747","0.6181176144550005","0.8189974836252742","0.3391808","4.3289999999999935","0.0"
"39.039","11.0","1.0","0.7318","1.0","0.406","0.0","0.0","0.25","0.2533","0.25","0.8024","0.6061","","1.0","0.25","","0.25","0.3021","0.0007","0.25","","0.0","0.3809","0.1667","0.3212","","0.7124","0.8333","0.4041","0.0872","0.4375","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.4047384312139327","0.516984508428079","0.8877539227858537","0.36872","5.329999999999998","0.0"
"40.04","11.0","1.0","0.7485","1.0","0.4286","0.0","0.0","0.3333","0.2962","0.3333","0.8485","0.6061","","1.0","0.3333","","0.3333","0.289","-0.0277","0.3333","","0.0","0.3883","0.2222","0.3687","","0.7496","0.8333","0.4721","0.0834","0.5","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.6067644057362768","0.4631311047056541","0.8563666989693773","0.39722","6.330999999999996","0.0"
"41.041","11.0","1.0","0.7856","1.0","0.486","0.0","0.0","0.4167","0.34","0.4167","0.8862","0.6061","","1.0","0.4167","","0.4167","0.2747","-0.0575","0.4167","","0.0","0.4049","0.2778","0.4066","","0.7793","0.8333","0.5376","0.0793","0.5625","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","1.0","0.0","0.8153611776357036","0.5362404329066657","0.7208792552709621","0.41996","7.331999999999994","0.0"
"42.042","11.0","1.0","0.8007","1.0","0.5613","0.0","0.0","0.5","0.4391","0.5","1.0","0.6061","","1.0","0.5","","0.5","0.2717","-0.0832","0.5","","0.0","0.4353","0.3333","0.4339","","0.8865","0.8333","0.6288","0.0784","0.625","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p1_activation_lead","0.9795","0.0517","1.0","0.6049186349641019","0.6049186349641019","0.436832","8.332999999999998","0.0"
"43.043","11.0","1.0","0.7757","1.0","0.6091","0.0","0.0","0.5833","0.6129","0.5833","1.0","0.6061","","1.0","0.5833","","0.5833","0.2868","-0.0777","0.5833","","0.0","0.4468","0.3889","0.4638","","0.9256","0.8333","0.6974","0.0828","0.6875","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","1.0","0.0003","1.0","0.6167354250409645","0.6167354250409645","0.45428","9.333999999999996","0.0"
"44.044","","0.9167","0.7405","1.0","0.6289","0.0","0.0","0.5833","0.6571","0.6364","1.0","0.6667","","1.0","0.6364","","0.6364","0.2896","-0.059","0.5834","","0.0","0.4496","0.3889","0.4627","","0.9554","0.8333","0.7427","0.0836","0.714","G01-S1-P01-P02-A","G01-S1-P01-P02","A","P01","P02","p2_activation_lead","1.0","0.0","0.8923463111723531","0.44429943117208265","0.5519531199997296","0.45362","10.334999999999994","0.0"

